,EEG.Fp1,EEG.Fz,EEG.F3,EEG.F7,EEG.FT9,EEG.FC5,EEG.FC1,EEG.C3,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.Pz,EEG.P3,EEG.P7,EEG.O1,EEG.Oz,EEG.O2,EEG.P4,EEG.P8,EEG.TP10,EEG.CP6,EEG.CP2,EEG.C4,EEG.T8,EEG.FT10,EEG.FC6,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.AF7,EEG.AF3,EEG.AFz,EEG.F1,EEG.F5,EEG.FT7,EEG.FC3,EEG.C1,EEG.C5,EEG.TP7,EEG.CP3,EEG.P1,EEG.P5,EEG.PO7,EEG.PO3,EEG.POz,EEG.PO4,EEG.PO8,EEG.P6,EEG.P2,EEG.CPz,EEG.CP4,EEG.TP8,EEG.C6,EEG.C2,EEG.FC4,EEG.FT8,EEG.F6,EEG.AF8,EEG.AF4,EEG.F2,EEG.FCz,number
10,0.04206003,0.016722104,0.033752732,0.030740252,0.029408244,0.034756098,0.010352969,0.016933208,0.037721835,0.07822983,0.02121504,0.012747203,0.030045684,0.050345745,0.04481218,0.090504415,0.053219434,0.0706876,0.036502913,0.04883922,0.10025983,0.038882766,0.013343607,0.019450184,0.05017454,0.027237654,0.024250098,0.0076368675,0.02020212,0.021294452,0.027660437,0.026601799,0.031671066,0.019869903,0.010013081,0.031788014,0.03264038,0.025338711,0.0053519127,0.023971004,0.022595843,0.009665635,0.012779317,0.021577165,0.04278591,0.02712914,0.024258208,0.038135532,0.0444676,0.03439663,0.020214383,0.007526614,0.016576616,0.02837757,0.062488902,0.006643576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,0.039710708,0.015035726,0.03952011,0.029293213,0.036260482,0.04069613,0.01135256,0.016695745,0.032367416,0.08870219,0.024645234,0.010217641,0.025794385,0.032818723,0.041056942,0.08321977,0.05415702,0.069017366,0.04223833,0.042308763,0.15490942,0.033353712,0.014769034,0.018195046,0.048934206,0.033395506,0.024746696,0.0094967615,0.022243941,0.02290079,0.031382617,0.033727873,0.027373357,0.025835859,0.011585882,0.046766218,0.029078707,0.025786594,0.0057939864,0.022966065,0.025272407,0.011556963,0.014575391,0.020060869,0.052069,0.03265687,0.028851772,0.039535187,0.047897078,0.040167872,0.021569004,0.009226622,0.017095983,0.026356416,0.04681848,0.005445232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,0.053905245,0.0188493,0.039701626,0.035714343,0.03137441,0.04291194,0.013982849,0.01713533,0.03512397,0.07660653,0.021309942,0.013605099,0.03219046,0.034646332,0.055987272,0.07712408,0.066891134,0.07467093,0.045110878,0.06318983,0.20082754,0.043607455,0.015572449,0.0177787,0.054680903,0.031055715,0.023217874,0.009936045,0.01695342,0.023550756,0.030942347,0.03641643,0.032982178,0.021935923,0.010590911,0.041126158,0.030705338,0.020974046,0.0055734375,0.023741832,0.033151437,0.012574809,0.01433535,0.020861182,0.050314125,0.028158076,0.025854737,0.038105655,0.044304755,0.0424566,0.022637414,0.0075398143,0.016274003,0.029352445,0.051001556,0.007699579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,0.050631925,0.012864622,0.043718375,0.03149242,0.026506046,0.043123152,0.01288097,0.01718738,0.03414902,0.06761796,0.030284917,0.010306687,0.02308432,0.038443495,0.044639334,0.0732762,0.054323114,0.06697607,0.03742894,0.048637222,0.17459022,0.046968613,0.0149276955,0.013288273,0.04950195,0.03550462,0.023152301,0.010914529,0.018725565,0.024309136,0.028219512,0.031813804,0.03499528,0.019926736,0.010978573,0.034629498,0.029641498,0.026953822,0.0060121315,0.021860672,0.029239966,0.011846122,0.011921903,0.024227882,0.048176147,0.03271473,0.034426894,0.031215161,0.0351348,0.039982595,0.016666861,0.0104380045,0.014644984,0.029842652,0.058195498,0.006598067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0.053450488,0.01570479,0.04536514,0.03383492,0.03148864,0.04929871,0.015002006,0.015823523,0.04442536,0.0655359,0.027013704,0.01290848,0.027421767,0.034876443,0.048305742,0.06397785,0.056312334,0.06089788,0.043459125,0.0575044,0.172918,0.03992042,0.013534697,0.017686736,0.053315956,0.027604658,0.02313812,0.012838994,0.018573742,0.028994674,0.0322406,0.04019412,0.03140833,0.022221876,0.01408672,0.03914399,0.03868571,0.032720868,0.0057290155,0.02250227,0.033602845,0.0103527885,0.01498917,0.026186096,0.03877717,0.035550468,0.023440432,0.03409529,0.040673696,0.034114905,0.01977285,0.009277907,0.016045507,0.034221128,0.034462377,0.007720205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,0.05257594,0.01775335,0.0522978,0.03566079,0.03568629,0.059220914,0.014613325,0.016520502,0.041690283,0.06196333,0.028670639,0.0110333115,0.027539475,0.041499913,0.047794424,0.061018273,0.053405013,0.07230278,0.037652638,0.05412024,0.23452005,0.041259166,0.013887016,0.014343659,0.055898324,0.030625733,0.023641024,0.010149148,0.018943328,0.026156636,0.039960418,0.03897611,0.03089919,0.0190908,0.015059155,0.03310958,0.038024224,0.03451501,0.0064248554,0.025485752,0.030073358,0.011250533,0.013618867,0.020959208,0.0373629,0.030815365,0.029509347,0.029297864,0.040149275,0.04602592,0.019374099,0.008909101,0.016972702,0.027037423,0.043329135,0.0074464437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,0.062618755,0.016817031,0.057929445,0.030793646,0.030340659,0.050459262,0.014864752,0.017645346,0.04261418,0.056987707,0.021921692,0.010014142,0.020545498,0.041307937,0.047515225,0.081706904,0.059720177,0.061368015,0.03740672,0.051374357,0.20132765,0.041687485,0.014035657,0.01536052,0.07017386,0.025171654,0.026081726,0.007875855,0.02003856,0.02324382,0.04139826,0.038896244,0.038210314,0.019960197,0.013766817,0.032295026,0.037160076,0.03639992,0.0066938694,0.036092874,0.03200464,0.00876519,0.012216144,0.012905761,0.032307904,0.032918222,0.031135496,0.031558644,0.04256893,0.0310092,0.018233402,0.007762888,0.018496292,0.029167693,0.043552533,0.0056691607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,0.06893606,0.0149993105,0.051642876,0.028684903,0.029415693,0.053587154,0.013265008,0.017221522,0.03613718,0.07416642,0.020105144,0.011404596,0.023594525,0.034751985,0.0426202,0.08586945,0.054079216,0.07613355,0.035992958,0.04576718,0.22258106,0.036534484,0.012758676,0.015780373,0.058770977,0.024402982,0.030274024,0.01105831,0.019236518,0.02577569,0.03885866,0.039719485,0.030132672,0.022792242,0.014428597,0.035311,0.033095017,0.040892582,0.0071874326,0.035764556,0.030076146,0.009636348,0.014804267,0.017198075,0.042624228,0.037726305,0.028169349,0.030003536,0.03558577,0.034318626,0.017201226,0.0076617366,0.017848784,0.026667327,0.046316497,0.0058955927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,0.05087625,0.015599807,0.06111962,0.030267192,0.02962525,0.05792819,0.011810898,0.022179065,0.0404306,0.06187741,0.026398003,0.008673935,0.020813763,0.034294832,0.035695538,0.08861555,0.059192214,0.060837604,0.03613644,0.0462988,0.16368257,0.05514009,0.012883743,0.017778972,0.072483025,0.02969397,0.02608595,0.009698676,0.019075658,0.023526201,0.034258083,0.046636805,0.029546257,0.022398846,0.014252105,0.03730858,0.027869904,0.0390278,0.0066102394,0.034352213,0.029133745,0.00943678,0.016248567,0.02655675,0.037403546,0.032491412,0.026569368,0.026234202,0.037636217,0.037480306,0.01710524,0.007924473,0.016772011,0.023942774,0.03768347,0.00644248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,0.0592234,0.02062493,0.052554034,0.029053774,0.030276364,0.040585607,0.010685542,0.02139588,0.035783302,0.06248154,0.018603362,0.009463588,0.025102854,0.023067355,0.036611453,0.081885524,0.052836705,0.06623328,0.032772485,0.04603148,0.17696902,0.036540106,0.01503491,0.019107023,0.077740334,0.029825289,0.022425257,0.009242426,0.018792648,0.023271205,0.032559544,0.04074009,0.039358087,0.017521145,0.010930653,0.031966284,0.025744298,0.034482326,0.006663715,0.02815639,0.030347222,0.008875619,0.013728669,0.02106981,0.04070157,0.026124958,0.026724564,0.031487577,0.04296118,0.02959639,0.014368945,0.006431387,0.014716847,0.025848445,0.03893997,0.0062974817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
